department_id,ministry_id,department_name,observed_agency_count,observed_service_count,ministry_departments_url
76081e714958,dee46e0227db,Commission on Administrative Justice,1,1.0,https://ecitizen.go.ke/en/ministries/commission-on-administrative-justice?department=commission-on-administrative-justice-commission-on-administrative-justice
6dafe05f5e3c,7a55ca42d67f,Executive Office Of The President,1,3.0,https://ecitizen.go.ke/en/ministries/executive-office-of-the-president?department=executive-office-of-the-president-executive-office-of-the-president
c0f9e21acd1b,84b249e08c14,State Department For Agriculture,23,514.0,https://ecitizen.go.ke/en/ministries/ministry-of-agriculture-and-livestock-development?department=state-department-for-agriculture
d21befb59527,84b249e08c14,State Department For Livestock Development,8,63.0,https://ecitizen.go.ke/en/ministries/ministry-of-agriculture-and-livestock-development?department=state-department-for-livestock-development
8ed5430ad43f,5ecbeaab9e41,State Department For Cooperatives,3,15.0,https://ecitizen.go.ke/en/ministries/ministry-of-cooperatives-and-micro-small-and-medium-enterprises-msme-development?department=state-department-for-cooperatives
d290644c716c,5ecbeaab9e41,"State Department For Micro, Small Enterprises (MSME) Development",4,47.0,https://ecitizen.go.ke/en/ministries/ministry-of-cooperatives-and-micro-small-and-medium-enterprises-msme-development?department=state-department-for-micro-small-enterprises-msme-development
f1fad849a43e,bfc0ad498f1a,Ministry of Defence,4,20.0,https://ecitizen.go.ke/en/ministries/ministry-of-defence-ministry-of-defence-ministry-of-defence?department=ministry-of-defence
7c04794adf38,7e71e6830cb0,State Department For The Asals and Regional Development,3,8.0,https://ecitizen.go.ke/en/ministries/ministry-of-east-african-community-eac-the-asals-regional-development?department=state-department-for-the-asals-regional-development
84b2f6075917,7e71e6830cb0,The State Department for East African Community,1,3.0,https://ecitizen.go.ke/en/ministries/ministry-of-east-african-community-eac-the-asals-regional-development?department=the-state-department-for-east-african-community
0794c8995a87,21513791e78a,State Department For Basic Education,9,56.0,https://ecitizen.go.ke/en/ministries/ministry-of-education?department=state-department-for-basic-education
5f7ffbe4ce0e,21513791e78a,State Department For Higher Education And Research,44,568.0,https://ecitizen.go.ke/en/ministries/ministry-of-education?department=state-department-for-higher-education-and-research
