ministry_id,ministry_name,ministry_description,reported_agency_count,observed_agency_count,reported_service_count,observed_service_count,observed_department_count,ministry_url
dee46e0227db,Commission on Administrative Justice,"The Commission on Administrative Justice, also known as the Office of the Ombudsman or the Kenyan Ombudsman, is an independent government institution in Kenya. It was established under the Constitution of Kenya, specifically under Chapter 15, to promote administrative justice, fairness, transparency, and accountability within the public sector.",1,1,1,1,1,https://ecitizen.go.ke/en/ministries/commission-on-administrative-justice
7a55ca42d67f,Executive Office Of The President,"The Executive Office of the President is a central administrative body in the government of Kenya. It serves as the primary support structure for the President, providing strategic advice, policy development, and implementation coordination. The office plays a pivotal role in coordinating the activities of various ministries and government agencies, ensuring efficient governance and effective decision-making. It facilitates the President’s leadership in guiding national priorities, promoting economic growth, and addressing social and political challenges.",1,1,3,3,1,https://ecitizen.go.ke/en/ministries/executive-office-of-the-president
84b249e08c14,Ministry Of Agriculture And Livestock Development,"The Ministry of Agriculture and Livestock Development is responsible for formulating and implementing policies, regulations, and strategies for the development of agriculture and livestock in Kenya. The ministry aims to promote sustainable agricultural practices and enhance food security, income generation, and job creation in rural areas. Its core functions include crop development, livestock development, land development, agricultural research, agricultural extension services, and marketing and trade. The ministry also collaborates with various stakeholders such as farmers, private sector players, and development partners to achieve its objectives.",31,31,864,577,2,https://ecitizen.go.ke/en/ministries/ministry-of-agriculture-and-livestock-development
5ecbeaab9e41,"Ministry Of Cooperatives And Micro, Small And Medium Enterprises (MSME) Development","The Ministry of Cooperatives and Micro, Small and Medium Enterprises (MSME) Development is responsible for creating an enabling environment for the growth and development of cooperatives and MSMEs in Kenya. The ministry aims to promote the establishment and growth of sustainable cooperatives and MSMEs that contribute to job creation, poverty reduction, and economic growth. Its functions include providing policy guidance, regulatory oversight, and capacity building support to cooperatives and MSMEs. The ministry also works closely with other government agencies, private sector players, and development partners to promote the development of cooperatives and MSMEs.",7,7,62,62,2,https://ecitizen.go.ke/en/ministries/ministry-of-cooperatives-and-micro-small-and-medium-enterprises-msme-development
bfc0ad498f1a,Ministry of Defence,"The Kenyan Ministry of Defense is a governmental body responsible for overseeing the country’s defense and security affairs. It plays a crucial role in safeguarding national sovereignty, protecting citizens, and maintaining peace. The ministry coordinates the activities of the Kenyan Defense Forces, which include the Army, Air Force, and Navy. It ensures the readiness and modernization of the armed forces to address both external and internal security challenges.",4,4,21,20,1,https://ecitizen.go.ke/en/ministries/ministry-of-defence-ministry-of-defence-ministry-of-defence
7e71e6830cb0,"Ministry Of East African Community (EAC), The ASALs and Regional Development","The Ministry of East African Community (EAC), The ASALs (Arid and Semi-Arid Lands), and Regional Development in Kenya is responsible for promoting regional integration and cooperation among East African countries. With a focus on the ASALs, the ministry aims to enhance sustainable development in these regions through various initiatives, including infrastructure development, natural resource management, and livelihood improvement programs. It plays a crucial role in fostering economic growth, social inclusion, and environmental sustainability in Kenya and the wider East African region.",0,4,11,11,2,https://ecitizen.go.ke/en/ministries/ministry-of-east-african-community-eac-the-asals-regional-development
21513791e78a,Ministry Of Education,"The Ministry of Education is responsible for the development, implementation, and management of policies, regulations, and programs related to education in Kenya. The ministry aims to provide quality, relevant, and accessible education to all Kenyan citizens, from early childhood to tertiary levels. Its functions include curriculum development, teacher training and management, education planning and management, research and development, and quality assurance. The ministry also oversees the management of public universities, tertiary institutions, and other educational institutions. It works closely with stakeholders such as parents, teachers, students, and development partners to achieve its objectives.",60,60,705,689,3,https://ecitizen.go.ke/en/ministries/ministry-of-education
8d57dacf896b,Ministry Of Energy And Petroleum,"The Ministry of Energy and Petroleum is responsible for the development and implementation of policies, regulations, and programs related to the energy and petroleum sectors in Kenya. The ministry aims to ensure the provision of affordable, reliable, and sustainable energy to all Kenyan citizens, while promoting the exploration, production, and utilization of petroleum resources. Its functions include energy policy formulation, electricity generation, transmission, and distribution, renewable energy development, oil and gas exploration and development, and regulation of the energy and petroleum sectors. The ministry also works closely with stakeholders such as energy consumers, private sector players, and development partners to achieve its objectives.",4,4,63,52,2,https://ecitizen.go.ke/en/ministries/ministry-of-energy-and-petroleum
8bfda0c9fd5d,"Ministry Of Environment, Climate Change And Forestry","The Ministry of Environment, Climate Change and Forestry is responsible for the formulation and implementation of policies, regulations, and programs related to the environment, climate change, and forestry in Kenya. The ministry aims to promote sustainable management of natural resources and ecosystems, reduce greenhouse gas emissions, and enhance resilience to climate change impacts. Its functions include environmental policy formulation and implementation, climate change mitigation and adaptation, forest conservation and management, biodiversity conservation, and environmental impact assessment. The ministry also works closely with various stakeholders, including the private sector, civil society, and development partners, to achieve its objectives.",6,6,486,480,2,https://ecitizen.go.ke/en/ministries/ministry-of-environment-climate-change-and-forestry
0807579f15e9,Ministry Of Foreign And Diaspora Affairs,"The Ministry of Foreign and Diaspora Affairs in Kenya is responsible for managing the country’s international relations and addressing the concerns of Kenyan citizens living abroad. It focuses on promoting diplomatic ties, safeguarding national interests, and enhancing cooperation with foreign nations. Additionally, the ministry plays a pivotal role in providing assistance and support to the Kenyan diaspora community, ensuring their welfare and addressing their needs.",2,2,23,23,1,https://ecitizen.go.ke/en/ministries/ministry-of-foreign-and-diaspora-affairs
