name,description,logo_url,url
Agricultural Development Corporation,Promote The Production Of Kenya’s Essential Agricultural Inputs,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Agricultural-Development-Corporation-log.png,https://adc.go.ke/shop
Agricultural Finance Corporation,"To provide sustainable financing through participative and collaborative financial and non-financial interventions, innovations, technology and products",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Agricultural-Finance-Corporation-logo-3.jpg,https://customerfeedback.agrifinance.org/
Agricultural Information Resource Centre (AIRC),"The Agricultural Information Resource Centre (AIRC), established in 1966 under the Ministry of Agriculture and Livestock Development, provides agricultural information services, capacity building, and knowledge-sharing platforms for farmers and stakeholders. It documents, produces, and disseminates technical content, collaborates with agencies on value chains and TIMPS, and offers training in ICT and knowledge management. AIRC also hosts the Ministry's main library and uses various media, including radio, to share success stories and promote agricultural innovations.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/AIRC-Logo.jpg,https://kilimo.go.ke/airc/
Agriculture And Food Authority (AFA),To sustainably develop and promote scheduled crops value chains through effective regulation for economic growth,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/2023/05/agency-agriculture-and-food-authority-afa.jpg,https://afa.ecitizen.go.ke/
Agro-Chemical and Food Company,"To Manufacture Yeast for Baking confectionary, Food Grade Extra Neutral Alcohol for Alcohol Beverages, Rectified and Denatured Spirits, Bottling and Packaging of Spirit and Manufacture of Carbon Dioxide",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/ACFC-Logo-Original.jpg,http://acfc.co.ke/
Alupe University,"To Create, Evaluate, Apply, Preserve and Share Knowledge in a Free, Open and Inclusive Environment of Intellectual Inquiry for the Betterment of Society",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/alupe_logo.jpg,https://portal.au.ac.ke/Home/Login
Anti Female Genital Mutilation Board,"To uphold the dignity and empowerment of girls and women in Kenya through coordination of initiatives, awareness creation and advocacy against FGM.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/ANTI-FGM-LOGO-e1690785719887.jpg,https://www.antifgmboard.go.ke
Anti-Counterfeit Authority (ACA),"ACA is the lead Kenyan government agency tasked with prohibiting trade in counterfeit goods in the country. It was established by the Anti-Counterfeit Act 2008, and operationalized in June 2010 as a state corporation; currently under the Ministry of Investment, Trade, and Industry.



The Authority is mandated to the enlighten and inform the public on matters relating to counterfeiting, combat counterfeiting, trade and other dealings in counterfeit goods, devise and promote training programs to combat counterfeiting and co-ordinate with national, regional or international organizations involved in combating counterfeiting.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/ACA-LOGO-01.jpg,https://public.aims.aca.go.ke
Anti-Money Laundering Advisory Board,The Anti-Money Laundering Advisory Board (AML Board) is established under section 49 of POCAMLA. The Board’s mandate under the Act is to advise the Director General of the Financial Reporting Centre (FRC) generally on the performance of his functions and the exercise of his powers under the Act.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Amlab.png, https://www.frc.go.ke/about-frc/aml-board.html
Assets Recovery Agency,Dedicated platform for Anonymously reporting proceeds of crime.,/en/images/ico-mcda-default.svg,https://assetsrecovery.go.ke/
Athi Water Works Development Agency,"Athi Water Works Development Agency (AWWDA) is one of the nine (9) Water Works Development Agencies (WWDA) established under the Ministry of Water, Sanitation &amp; Irrigation. It was established under the Water Act 2016 vide Legal Notice No. 28 of 26th April 2019.  The Agency is responsible for the development, maintenance and management of water and sewerage infrastructure in the counties of Nairobi, Kiambu and Muranga Counties covering 5,800.4Km2 with a total population of 9,320,287 people.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Athi-works-logo.jpg,https://www.awwda.go.ke/
Betting Control And Licensing Board,"Gain convenient access to our online betting and gambling regulatory services, ensuring fairness and transparency.",/en/images/ico-mcda-default.svg, https://bclb.go.ke/online-services/
Board of Registration of Architects and Quantity Surveyors of Kenya (BORAQS),"The Board’s mandate is to regulate the professions of Architecture and Quantity Surveying
through training, registration and enhancement of ethical practice.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/BORAQS-image.jpg,https://boraqs.or.ke/
Boma Yangu,The Boma Yangu platform is the gateway into the Affordable Housing Program. Start your journey towards home ownership.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/2023/05/agency-boma-yangu.png,https://www.bomayangu.go.ke
Bomas of Kenya,"BOMAS of Kenya was started by the Government of Kenya in 1971 as wholly owned subsidiary of the Tourism Finance Corporation (TFC) the Company was established to Preserve, Maintain and Promote the Rich Diverse cultural values of various ethnic groups of Kenya and to act as a tourist attraction centre thus Bomas of Kenya is expected to preserve the authenticity of the Kenya’s Cultural values and to portray them in the pure form",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Bomas-Logo.jpeg,
Bomet University College,"Bomet University College is a Constituent College of Moi University established under a Legal Notice Number 145 of 27th July 2017. It is the first public university in Bomet County, strategically placed at the heart of Bomet Town. Its establishment aligns with the government's policy to establish at least one university in every county.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/BUC-Logo.png,https://buc.ac.ke/
Bukura Agricultural College,To provide Agricultural Training through the integration of Research and Extension,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/bukura-logo.jpg,https://student.bukuracollege.ac.ke/
Business Registration Services,Leverage BRS's digital platform for simplified and efficient business registration procedures.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/2023/05/agency-business-registration-services.png,http://brs.ecitizen.go.ke/
Capital Markets Authority,Capital Markets Authority is a regulator of Capital and Commodity Markets in Kenya.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/agency-capital-markets-authority.jpg,https://cma.ecitizen.go.ke/
"Centre for Mathematics, Science, and Technology Education in Africa (CEMASTEA","The Centre’s core mandate is capacity development in Pedagogical Content Knowledge (PCK) and ICT integration in STEM education for teachers in Basic education. Other programmes include STEM &amp; Robotics Boot Camps and Outreaches, Science and Innovation fairs, Education for Sustainable Development (ESD), Climate Change, Inclusive and Gender Responsive trainings. The Centre also promotes partnerships and linkages in STEM Education.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Cemastea-Logo.jpg,https://portal.cemastea.ac.ke/login/
Chemelil Sugar Company Limited,Chemelil Sugar Company Limited is mandated to Manufacture sugar and co-products from sugarcane and Establish and manage sugarcane plantations and assist others to do so.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/chemelil-logo.jpg,https:// www.chemsugar.co.ke
Chuka University,"To provide access, generate, preserve and share knowledge for quality, effective and ethical leadership in higher education, training, research and outreach through nurturing an intellectual culture that integrates theory with practice, innovation and entrepreneurship.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/chuka-uni-logo-HD.jpg,https://www.chuka.ac.ke/
Civil Registration Services,Access CRS's online platform to conveniently apply and pay for birth and death registration services.,/en/images/ico-mcda-default.svg,https://dcrs.ecitizen.go.ke/dashboard
Clinical Officers Council of Kenya,"CLINICAL OFFICERS COUNCIL mandate is to regulate training,
registration, licensing and practice of all Clinical officers. COC works
to ensure that the Clinical Officers are trained to address Kenyans’ health
needs and deliver high quality health services.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/coc-logo.jpg,https://clinicalofficerscouncil.org/
Commission For University Education,"Access CUE's online services for recognition, accreditation, quality audit, licensing, and collaboration.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/agency-commission-for-university-education.jpg,https://imis.cue.or.ke/
Commission on Administrative Justice,The Commission on Administrative Justice Complaints Management Information System (CMIS) is a digital platform designed to streamline and enhance efficiency in the reporting and management of public complaints on maladministration.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/caj_logo_only.png,http://cmis.ombudsman.go.ke/
Commodities Fund,"Commodities Fund is a Kenyan Government agency, established by Crops Act 2013 under the Ministry of Agriculture, Livestock, Fisheries &amp; Cooperatives to provide sustainable and affordable credit and advances for farm improvement; farm inputs; farming operations; agricultural Infrastructure development, equipment and to support processing initiatives.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/commodities-logo.jpg,http://farmers.comfund.co.ke:93/
Communications Authority Of Kenya,"The Communications Authority of Kenya (CA) is the regulatory authority for the communications sector in Kenya. the Authority is responsible for facilitating the development of the information and communications sectors including; broadcasting, cybersecurity, multimedia, telecommunications, electronic commerce, postal and courier services.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/agency-communications-authority-of-kenya.jpg,https://www.ca.go.ke/
Competition Authority Of Kenya,"Competitive markets increase the prosperity and welfare of Kenyan consumers. Our role is to protect, strengthen and supplement the way competition works in Kenya markets and industries to improve the efficiency of the economy and to increase the welfare of Kenyans",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/new-logo.png,https://competition.cak.go.ke:444/
Council of Legal Education,"Promoting legal education and training, and the maintenance of the highest possible standards in legal education providers; and the provision of a system to guarantee the quality of legal education and legal education providers.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/CLE-logo.jpg,https://cle.or.ke/
Counsellors and Psychologists Board,"The counselors and Psychologists Board seeks to protect individuals and communities' mental health by promoting professional standards, supporting continuous professional growth, and offering ethical guidance leading to competency in counseling and psychological practice.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/court-of-arm.jpg,https://cprb.ecitizen.go.ke/
Dairy Training Institute,"The institute draws her mandate from Executive Order No. 1 of 2023 and the 4th schedule of Kenyan Constitution under the State Department for Livestock Development that include capacity building and technical assistance to counties. The mission of the institute is to provide quality training, research, consultancy and outreach services in dairy production",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/court-of-arm.jpg,https://dairyinstitute.ecitizen.go.ke/
Dedan Kimathi University of Technology,"To provide academically stimulating, culturally diverse and quality learning environment that fosters research, innovation and technology development towards producing relevant technical and managerial human resource and leaders to contribute to attainment of national development goals.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/DK-university-logo.jpg,https://www.dkut.ac.ke/index.php
Directorate of Criminal Investigations,Access the Directorate of Criminal Investigations' online platform for police clearance certificate services and more.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/2023/05/agency-directorate-of-criminal-investigations.png,https://dci.ecitizen.go.ke/dashboard
Directorate of Immigration Services (New Applications),"Utilize DIS's online services for efficient ePassport, temporary permit, and eVisa applications.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/2023/05/agency-directorate-of-immigration-services.png,https://dis.ecitizen.go.ke/dashboard
Directorate of Occupational Safety and Health Services,"To promote a safe and healthy workplace by implementing effective systems for the prevention of Occupational diseases, ill health, accidents, and property damage to reduce the cost of production and improve productivity in all sectors of our economic activities.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/dosh-logo.png,https://doshmis.go.ke/
Directorate of Veterinary Services,"To safeguard animal and human health, improve animal welfare, increase animal resource productivity and ensure safe and high quality animals and their products to facilitate food security and domestic and international trade",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/MOW-logo.png,https://dvs.ecitizen.go.ke/
Egerton University,"Advancement of knowledge through teaching, scholarly research and scientific investigation.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/egerton_university_logo.png,https://www.egerton.ac.ke/
Energy And Petroleum Regulatory Authority,Access EPRA’s online services for application and renewal of licenses and permits in the energy sector.,/en/images/ico-mcda-default.svg,https://portal.epra.go.ke:8443/site/login-sso
Engineers Board Of Kenya,Access EBKs online services for application and renewal of engineering licenses,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/agency-engineers-board-of-kenya.png,https://ebk.ecitizen.go.ke/
Equalization Fund,The mandate is to provide basic services to the marginalised areas.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/court-of-arm.jpg,https://www.equalizationfund.go.ke/
Estate Agents Registration Board (EARB),"Estate Agents Registration Board (EARB) is the regulatory body for estate agency practice in Kenya and it
derives its mandate from Estate Agents Act, 1984 Cap 533 which was operationalized in 1987",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/EARB-LOGO.png,https://members.estateagentsboard.or.ke/
Export Processing Zones Authority,"The Export Processing Zones Authority (EPZA) is a State Corporation under the Ministry of Investments, Trade &amp; Industry (MITI), established in 1990 by the EPZ Act CAP 517, Laws of Kenya
Development of all aspects of the Export Processing Zones (EPZ) with particular emphasis on the provision of advice on the removal of impediments to, and creation of incentives for, export-oriented production in areas designated as export processing zones;",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/EPZA.jpg,https://epza.ecitizen.go.ke/
Financial Reporting Centre(FRC,"The Financial Reporting Centre(FRC) is established by section 23 of the Proceeds of Crime and Anti-Money Laundering Act, 2009 with the principal objective of identifying the proceeds of crime, combating money laundering, countering the financing of terrorism and the proliferation of weapons of mass destruction.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/FRC-logo.jpg,https://www.frc.go.ke/
Firearms Licensing Board,"Resposible for regulating, licensing and controlling the manufacture, importation, exportation, transportation, sale, repair, storage, possession and use of firearms.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/FLB-Logo.jpg,https://www.firearms.or.ke/
Garissa University,"To nurture talent through research, innovation, consultancy, community outreach, entrepreneurship, imparting knowledge and skills to meet the needs of the society.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/gau-logo.jpeg,https://gau.ac.ke/
Government Chemist,"To provide Forensic Science and Analytical Laboratory services to Government Institutions, private sector and the public for the purpose of safeguarding human health, environment and administration of justice.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/court-of-arm.jpg,https://govchemist.ecitizen.go.ke/services/
