ministry,department,agency,name,url
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Civil Marriage (Both Foreigners) - Special Licences,/en/services/national/registration-of-civil-marriageboth-foreigners-special-licences
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Civil Marriage(Kenyan National Foreign National) - Special Licences,/en/services/national/registration-of-civil-marriagekenyan-national-foreign-national-special-licences
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Hindu Marriage (Kenyan National Foreign National) - Special Licences,/en/services/national/registration-of-hindu-marriagekenyan-national-foreign-national-special-licences
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Christian Marriage (Both Foreigners) - Special Licenses,/en/services/national/registration-of-christian-marriage-both-foreigners-special-licenses
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Christian Marriage (Kenyan National Foreign National) - Special Licenses,/en/services/national/registration-of-christian-marriage-kenyan-national-foreign-national-special-licenses
the-state-law-office,registers-generals-department,registrar-of-marriages,Licensing Of The Minister Of Faith,/en/services/national/licensing-of-the-minister-of-faith
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Christian Marriage (Both Kenyans) Special Licenses,/en/services/national/registration-of-christian-marriage-special-licences
the-state-law-office,registers-generals-department,registrar-of-marriages,Licensing Of The Minister Of Faith - Renewal,https://oag.ecitizen.go.ke/dashboard
the-state-law-office,registers-generals-department,registrar-of-marriages,Licensing Of The Minister Of Faith - New License,https://oag.ecitizen.go.ke/dashboard
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Customary Marriage - New Application,/en/services/national/registration-of-customary-marriage-new-application
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Hindu Marriage(Both Kenyan Nationals) - Special Licences,/en/services/national/registration-of-hindu-marriage-special-licences
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Hindu Marriage(Both Foreigners) - Special License,/en/services/national/registration-of-hindu-marriage
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Christian Marriage - Notices,https://oag.ecitizen.go.ke/dashboard
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Christian Marriage,https://oag.ecitizen.go.ke/dashboard
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Civil Marriage(Both Kenyan Nationals) - Special Licences,/en/services/national/registration-of-civil-marriage-special-licences
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Civil Marriage - Notices,/en/services/national/registration-of-civil-marriage-notices
the-state-law-office,registers-generals-department,registrar-of-marriages,Registration Of Civil Marriage,https://oag.ecitizen.go.ke/dashboard
